feature,coefficient,absolute_coefficient
SPATA31C2 (645961),-6.662501340052364e-06,6.662501340052364e-06
TTL (150465),-6.660445911495031e-06,6.660445911495031e-06
SLC7A9 (11136),6.660415052350173e-06,6.660415052350173e-06
CFAP119 (90835),6.660076372407478e-06,6.660076372407478e-06
CCDC117 (150275),6.6599072321715965e-06,6.6599072321715965e-06
HIKESHI (51501),-6.6595276714372795e-06,6.6595276714372795e-06
CYB5A (1528),6.658007258702578e-06,6.658007258702578e-06
CXorf58 (254158),6.657861048039581e-06,6.657861048039581e-06
B4GALT2 (8704),-6.656121088284625e-06,6.656121088284625e-06
METTL8 (79828),6.656058392180233e-06,6.656058392180233e-06
CTNS (1497),6.65565046405044e-06,6.65565046405044e-06
SLC52A2 (79581),6.654343504311146e-06,6.654343504311146e-06
RGS7BP (401190),-6.652949583685272e-06,6.652949583685272e-06
ANKZF1 (55139),-6.65276776747447e-06,6.65276776747447e-06
JKAMP (51528),-6.652766757446898e-06,6.652766757446898e-06
CD164L2 (388611),6.65251339650917e-06,6.65251339650917e-06
MMP17 (4326),-6.652113272294698e-06,6.652113272294698e-06
IQCD (115811),-6.651701493682018e-06,6.651701493682018e-06
SMARCAL1 (50485),6.651618476429264e-06,6.651618476429264e-06
RNF144A (9781),6.651561938395892e-06,6.651561938395892e-06
TMEM33 (55161),6.650624707449293e-06,6.650624707449293e-06
SMIM22 (440335),6.650334919003744e-06,6.650334919003744e-06
NUP188 (23511),6.650186525991281e-06,6.650186525991281e-06
UBA52 (7311),-6.646169387170273e-06,6.646169387170273e-06
HCCS (3052),-6.646031718152722e-06,6.646031718152722e-06
CD200R1 (131450),-6.645740845049469e-06,6.645740845049469e-06
USP43 (124739),6.645535566031386e-06,6.645535566031386e-06
THUMPD2 (80745),6.6449548128132066e-06,6.6449548128132066e-06
XAGE5 (170627),6.643551367578187e-06,6.643551367578187e-06
RPS6KA2 (6196),-6.643144309368714e-06,6.643144309368714e-06
RIPPLY3 (53820),6.642428188366737e-06,6.642428188366737e-06
GZMH (2999),6.640848441796902e-06,6.640848441796902e-06
PRKAG2 (51422),-6.638890278543442e-06,6.638890278543442e-06
USP46 (64854),6.637825522638332e-06,6.637825522638332e-06
PYGL (5836),-6.63681737514125e-06,6.63681737514125e-06
C12orf42 (374470),-6.635912257405896e-06,6.635912257405896e-06
ITPR3 (3710),6.635671927950594e-06,6.635671927950594e-06
N4BP2 (55728),6.634599970480918e-06,6.634599970480918e-06
PPIAL4G (644591),6.633857765816948e-06,6.633857765816948e-06
OR7D2 (162998),6.633692187558106e-06,6.633692187558106e-06
ACY3 (91703),6.633309118963337e-06,6.633309118963337e-06
